opencore-amr 0.1.5-2
openexr 2.3.0-1
openjpeg2 2.3.1-1
openresolv 3.9.1-1
opensp 1.5.2-8
openssl 1.1.1.c-1
optipng 0.7.7-1
opus 1.3.1-1
orc 0.4.29-1
p11-kit 0.23.16.1-1
p7zip 16.02-5
pacman 5.1.3-1
pacman-contrib 1.1.0-1
pacman-mirrorlist 20190821-1
pam 1.3.1-1
pambase 20190105.1-1
pamixer 1.4-1
pango 1:1.44.6-1
pangomm 2.42.0-1
parallel 20190722-1
parted 3.2-9
patch 2.7.6-7
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
perl 5.30.0-3
perl-error 0.17028-1
perl-mailtools 2.21-2
perl-timedate 2.30-6
perl-uri 1.76-2
perl-xml-parser 2.44-9
pinentry 1.1.0-4
pipewire 0.2.6+1+g37613b67-1
pixman 0.38.4-1
pkgconf 1.6.3-1
polkit 0.116-2
polkit-gnome 0.105-4
poppler 0.80.0-1
poppler-data 0.4.9-1
poppler-glib 0.80.0-1
popt 1.16-10
portaudio 1:19.6.0-6
potrace 1.15-1
primus 20151110-8
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-5
pulseaudio-equalizer-ladspa 3.0.2-1
pygobject-devel 3.32.2-1
pygobject2-devel 2.28.7-2
pygtk 2.24.0-8
python 3.7.4-1
python-appdirs 1.4.3-2
python-attrs 19.1.0-1
python-chardet 3.0.4-2
python-gobject 3.32.2-1
python-greenlet 0.4.15-1
python-idna 2.8-1
python-isodate 0.6.0-3
python-lxml 4.4.1-1
python-msgpack 0.6.1-1
python-packaging 19.1-2
python-pillow 6.1.0-1
python-pycountry 19.8.18-1
python-pycryptodome 3.9.0-1
python-pynvim 0.3.2-5
python-pyparsing 2.4.2-1
python-pysocks 1.7.0-1
python-pystache 0.5.4-5
python-pywal 3.3.0-1
python-requests 2.22.0-1
python-setuptools 1:41.2.0-1
python-six 1.12.0-1
python-urllib3 1.25.3-1
python-websocket-client 0.56.0-1
python-xlib 0.24-1
python-yaml 5.1.2-1
python2 2.7.16-1
python2-appdirs 1.4.3-2
python2-attrs 19.1.0-1
python2-cairo 1.18.1-1
python2-gobject2 2.28.7-2
python2-packaging 19.1-2
python2-pillow 6.1.0-1
python2-pyparsing 2.4.2-1
python2-setuptools 1:41.2.0-1
python2-six 1.12.0-1
qt5-base 5.13.0-7
qt5-imageformats 5.13.0-2
ranger 1.9.2-1
re2 20190901-1
readline 8.0.0-1
reflector 2019.3-1
reiserfsprogs 3.6.27-2
rest 0.8.1-1
resvg 0.6.1-1
rofi 1.5.4-1
rsync 3.1.3-1
rtkit 0.12-1
rtmpdump 1:2.4.r96.fa8646d-5
rubberband 1.8.2-2
rxvt-unicode 9.22-9
rxvt-unicode-terminfo 9.22-9
s-nail 14.9.15-1
sassc 3.6.1-1
sbc 1.4-1
sdl2 2.0.10-1
sed 4.7-1
sgml-common 0.6.3-6
shaderc 2019.0-1
shadow 4.7-2
shared-mime-info 1.12-1
slang 2.3.2-1
slop 7.4-4
smbclient 4.10.6-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
spaceship-prompt-git v3.9.0.r1.g6e42f9d-1
speex 1.2.0-2
speexdsp 1.2.0-1
spice 0.14.2-1
spirv-tools 2019.3-2
sqlite 3.29.0-1
startup-notification 0.12-6
streamlink 1.2.0-1
sublime-text-dev 3.3207-1
sudo 1.8.27-1
suitesparse 5.4.0-1
surf 2.0-2
swh-plugins 0.4.17-3
sysfsutils 2.1.0-10
systemd 242.84-2
systemd-libs 242.84-2
systemd-sysvcompat 242.84-2
taglib 1.11.1-3
talloc 2.2.0-1
tar 1.32-1
tdb 1.3.18-2
telegram-desktop 1.8.2-1
tevent 1:0.9.39-2
texinfo 6.6-1
thin-provisioning-tools 0.8.5-2
thunar 1.8.9-2
tlp 1.2.2-1
transmission-gtk 2.94-2
tslib 1.20-1
ttf-dejavu 2.37-2
ttf-font-awesome 5.10.2-1
ttf-liberation 2.00.5-2
tumbler 0.2.7-1
twolame 0.3.13-8
tzdata 2019b-1
uchardet 0.0.6-2
udisks2 2.8.4-1
unibilium 2.0.0-1
unrar 1:5.8.1-1
unzip 6.0-13
upower 0.99.10-1
usbmuxd 1.1.0+48+g1cc8b34-3
usbutils 012-1
util-linux 2.34-3
v4l-utils 1.16.7-1
vamp-plugin-sdk 2.8.0-1
vi 1:070224-3
vid.stab 1.1-2
virtualgl 2.6.2-1
volume_key 0.3.11-2
vulkan-icd-loader 1.1.121-1
w3m 0.5.3.git20190105-1
wavpack 5.1.0-2
wayland 1.17.0-1
wayland-protocols 1.18-1
webkit2gtk 2.24.4-1
webrtc-audio-processing 0.3.1-1
which 2.21-3
wildmidi 0.4.3-1
woff2 1.0.2-1
wpa_supplicant 2:2.9-1
x264 2:157.r72db4377-1
x265 3.1.2-1
x86_energy_perf_policy 5.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-2
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xcb-util-xrm 1.3-1
xclip 0.13-2
xdg-utils 1.1.3+18+g0547886-1
xf86-input-evdev 2.10.6-1
xf86-input-keyboard 1.9.0-3
xf86-input-libinput 0.29.0-1
xf86-input-mouse 1.9.3-1
xf86-input-synaptics 1.9.1-1
xf86-input-vmmouse 13.1.0-4
xf86-input-void 1.4.1-4
xf86-video-dummy 0.3.8-3
xf86-video-fbdev 0.5.0-1
xf86-video-intel 1:2.99.917+870+g6f4972d5-1
xf86-video-nouveau 1.0.16-1
xf86-video-openchrome 0.6.0-3
xf86-video-qxl 0.1.5-7
xf86-video-vesa 2.4.0-2
xf86-video-vmware 13.3.0-1
xf86-video-voodoo 1.2.5-10
xfce4-power-manager 1.6.5-2
xfce4-settings 4.14.1-1
xfce4-taskmanager 1.2.2-1
xfconf 4.14.1-1
xfsprogs 4.20.0-2
xkeyboard-config 2.27-1
xorg-fonts-encodings 1.0.5-1
xorg-mkfontscale 1.2.1-1
xorg-server 1.20.5-2
xorg-server-common 1.20.5-2
xorg-setxkbmap 1.3.2-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.2-1
xorg-xmodmap 1.0.10-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xset 1.2.4-1
xorg-xwininfo 1.1.5-1
xorgproto 2019.1-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
yay 9.2.1-1
youtube-dl 2019.08.13-1
zathura 0.4.3-3
zathura-djvu 0.2.8-1
zathura-pdf-poppler 0.2.9-1
zeromq 4.3.1-2
zip 3.0-8
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zlib 1:1.2.11-3
zsh 5.7.1-1
zsh-autosuggestions 0.6.3-1
zstd 1.4.2-1
zziplib 0.13.69-1
